name;slug;value;date_of_information;ranking;region
"Mongolia";"mongolia";"6.33";"2023";142;"East and Southeast Asia"
"Philippines";"philippines";"6.32";"2023";143;"East and Southeast Asia"
"Dominican Republic";"dominican-republic";"6.31";"2023";144;"Central America and the Caribbean"
"Laos";"laos";"6.26";"2023";145;"East and Southeast Asia"
"Sint Maarten";"sint-maarten";"6.24";"2023";146;"Central America and the Caribbean"
"Sudan";"sudan";"6.19";"2023";147;"Africa"
"American Samoa";"american-samoa";"6.19";"2023";148;"Australia and Oceania"
"Turkey (Turkiye)";"turkey-turkiye";"6.09";"2023";149;"Middle East"
"Guam";"guam";"6.08";"2023";150;"Australia and Oceania"
"Kyrgyzstan";"kyrgyzstan";"6.07";"2023";151;"Central Asia"
"Sao Tome and Principe";"sao-tome-and-principe";"6.07";"2023";152;"Africa"
"Montserrat";"montserrat";"6.07";"2023";153;"Central America and the Caribbean"
"Cayman Islands";"cayman-islands";"6.06";"2023";154;"Central America and the Caribbean"
"Bhutan";"bhutan";"6.05";"2023";155;"South Asia"
"Zambia";"zambia";"6.02";"2023";156;"Africa"
"Ghana";"ghana";"5.99";"2023";157;"Africa"
"Turkmenistan";"turkmenistan";"5.96";"2023";158;"Central Asia"
"Pakistan";"pakistan";"5.94";"2023";159;"South Asia"
"Madagascar";"madagascar";"5.92";"2023";160;"Africa"
"El Salvador";"el-salvador";"5.92";"2023";161;"Central America and the Caribbean"
"New Caledonia";"new-caledonia";"5.92";"2023";162;"Australia and Oceania"
"Wallis and Futuna";"wallis-and-futuna";"5.9";"2023";163;"Australia and Oceania"
"Panama";"panama";"5.88";"2023";164;"Central America and the Caribbean"
"Burundi";"burundi";"5.85";"2023";165;"Africa"
"Cabo Verde";"cabo-verde";"5.77";"2023";166;"Africa"
"Rwanda";"rwanda";"5.77";"2023";167;"Africa"
"Vietnam";"vietnam";"5.77";"2023";168;"East and Southeast Asia"
"Malaysia";"malaysia";"5.72";"2023";169;"East and Southeast Asia"
"Gambia, The";"gambia-the";"5.71";"2023";170;"Africa"
"Cambodia";"cambodia";"5.7";"2023";171;"East and Southeast Asia"
"Antigua and Barbuda";"antigua-and-barbuda";"5.69";"2023";172;"Central America and the Caribbean"
"French Polynesia";"french-polynesia";"5.67";"2023";173;"Australia and Oceania"
"Tajikistan";"tajikistan";"5.67";"2023";174;"Central Asia"
"Ethiopia";"ethiopia";"5.6";"2023";175;"Africa"
"Gabon";"gabon";"5.59";"2023";176;"Africa"
"Nepal";"nepal";"5.59";"2023";177;"South Asia"
"Northern Mariana Islands";"northern-mariana-islands";"5.58";"2023";178;"Australia and Oceania"
"Lebanon";"lebanon";"5.57";"2023";179;"Middle East"
"Timor-Leste";"timor-leste";"5.55";"2023";180;"East and Southeast Asia"
"Yemen";"yemen";"5.54";"2023";181;"Middle East"
"Bangladesh";"bangladesh";"5.5";"2023";182;"South Asia"
"Papua New Guinea";"papua-new-guinea";"5.48";"2023";183;"East and Southeast Asia"
"British Virgin Islands";"british-virgin-islands";"5.44";"2023";184;"Central America and the Caribbean"
"Uzbekistan";"uzbekistan";"5.43";"2023";185;"Central Asia"
"Samoa";"samoa";"5.38";"2023";186;"Australia and Oceania"
"Iran";"iran";"5.2";"2023";187;"Middle East"
"Nicaragua";"nicaragua";"5.19";"2023";188;"Central America and the Caribbean"
"Ecuador";"ecuador";"5.18";"2023";189;"South America"
"Togo";"togo";"5.16";"2023";190;"Africa"
"Israel";"israel";"5.05";"2023";191;"Middle East"
"Tanzania";"tanzania";"5.02";"2023";192;"Africa"
"Senegal";"senegal";"5";"2023";193;"Africa"
"Costa Rica";"costa-rica";"4.97";"2023";194;"Central America and the Caribbean"
"Kenya";"kenya";"4.95";"2023";195;"Africa"
"Tonga";"tonga";"4.95";"2023";196;"Australia and Oceania"
"Paraguay";"paraguay";"4.9";"2023";197;"South America"
"Falkland Islands (Islas Malvinas)";"falkland-islands-islas-malvinas";"4.9";"2012";198;"South America"
